Title,Date,Size,Location,Description,Price
Apartment to purchase in Ain Diab Extensi...,Published today,"3 bedrooms, 82 m²","Ain Diab Extension in
	 					Casablanca","the boulevard de biarritz becomes the new luxury address in anfa!

located 2 minutes from the morocco mall, biarritz anfa ocean is the new high standing real estate project signed by anwar luxury.

true to
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,956,000 DH
					</span>"
Blue Skies,,,Riviera in Casablanca,"whether you are a young worker, investor or simply looking for your future home in casablanca, the studio blue skies project offers properties that meet all your expectations

more than a simple project, blue skies will meet all your expectations, in terms of location,
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>861,000 DH
					</span>"
Beautiful apartment for sale in Racine. L...,Published 1 day ago,"3 bedrooms, 160 m²","Racine in
   					Casablanca","ideal apartment for sale. price 3,200,000 dh. 4 living areas, 2 bathrooms, area 160 m². 3 rooms. 5th on the first floor. new. floor type: wooden. living room with fireplace, residence with caretaker,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">3,200,000 DH
					</span>"
Sale of a lovely apartment in Triangle d'...,Published 1 day ago,"3 bedrooms, 165 m²","Triangle d'Or in
   					Casablanca","buy your apartment. price 3,450,000 dh. 3 rooms, 2 bathrooms, 165 m². 4 rooms. 3rd property storey. good condition. covering: marble. with lift, car parking spaces, balcony.

come and check out this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">3,450,000 DH
					</span>"
High quality house for sale in Sidi Maaro...,Published 1 day ago,"4 bedrooms, 1106 m²","Sidi Maarouf in
   					Casablanca","high - end amenities with this villa for sale. price 15,000,000 dh. 6 living areas, 4 bathrooms, 1106 m². 4 rooms. good condition. floor type: marble. enjoy the comfort of the fireplace and the air
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">15,000,000 DH
					</span>"
High quality house for sale in Californie...,Published 1 day ago,"4 bedrooms, 1080 m²","Californie in
   					Casablanca","high - end amenities with this villa for sale. price 15,000,000 dh. 6 living areas, 2 bathrooms, 1080 m². 4 bedrooms. less than 20 years. floor type: marble. numerous amenities : fireplace, air
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">15,000,000 DH
					</span>"
Luxury Villa for sale in Californie. 4 ro...,Published 1 day ago,"4 bedrooms, 1504 m²","Californie in
   					Casablanca","luxury amenities with this villa for sale. price 13,500,000 dh. 7 living areas, 3 private bathrooms, 1504 m². 4 bedrooms. good condition. enjoy a beautiful garden and a terrace. also has a garage.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">13,500,000 DH
					</span>"
Luxury home for sale in El Manar - El Han...,Published 1 day ago,"4 bedrooms, 721 m²","El Manar - El Hank in
   					Casablanca","luxury amenities with this villa for sale. price 13,900,000 dh. 6 living areas including 4 rooms, 3 bathrooms, 721 m². good condition. floor type: marble. usable fireplace, residence with swimming pool,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">13,900,000 DH
					</span>"
Apartment for sale in Les Hôpitaux. 2 bea...,Published 1 day ago,"2 bedrooms, 147 m²","Les Hôpitaux in
   					Casablanca","get a great deal by buying this apartment. price 2,250,000 dh. 3 living areas, 2 rooms, 2 bathrooms, area 147 m². 5th on the top floor. good condition. covering: marble. enjoy the comfort of the fireplace
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,250,000 DH
					</span>"
Apartment to purchase in Les princesses...,Published 1 day ago,"2 bedrooms, 113 m²","Les princesses in
   					Casablanca","amazing deal on this apartment for sale. price 1,700,000 dh. 3 living areas, 2 bedrooms, 2 bathrooms, floor area 113 m². 2nd storey. good condition. covering: marble. living room with fireplace, residence
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,700,000 DH
					</span>"
Magnificent villa for sale in Californie...,Published 1 day ago,"5 bedrooms, 1187 m²","Californie in
   					Casablanca","luxury villa for sale. price 18,000,000 dh. 10 living areas including 5 rooms, 5 bathrooms, 1187 m². good condition. floor type: marble. enjoy the comfort of the fireplace and the air conditioning. the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">18,000,000 DH
					</span>"
House to buy in Ain Diab. Surface area 52...,Published 1 day ago,"2 bedrooms, 52 m²","Ain Diab in
   					Casablanca","find out about this house for sale. price 2,000,000 dh. 2 rooms, 2 bathrooms, area 52 m². 3 rooms. less than 30 years. covering: tiled. equipped with a satellite dish.

this house is for sale in ain diab,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,000,000 DH
					</span>"
High quality house for sale in CIL (Hay S...,Published 1 day ago,"1 bedroom, 1276 m²","CIL (Hay Salam) in
   					Casablanca","superb benefits with this villa for sale. price 31,900,000 dh. 1 bathroom, area of ​​1276 m². 1 living areas. 1 room. good condition. in addition to a terrace, also has a garden and carpark.

come and
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">31,900,000 DH
					</span>"
Sale of a lovely apartment in Gauthier. L...,Published 1 day ago,"1 bedroom, 62 m²","Gauthier in
   					Casablanca","amazing deal on this apartment for sale. price 1,380,000 dh. 2 living areas, 1 bathroom, area 62 m². 1 room. 2nd ground floor. less than 10 years. floor type: marble.

this apartment is offered for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,380,000 DH
					</span>"
Sell apartment in Maârif Extension. 3 lar...,Published 1 day ago,"3 bedrooms, 106 m²","Maârif Extension in
   					Casablanca","get a great deal by buying this apartment. price 1,639,000 dh. 3 rooms, 2 bathrooms, 106 m². 3 rooms. 2nd on the top floor. less than 1 year. secured residence with reinforced door. the property also has a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,639,000 DH
					</span>"
Find an apartment to buy in Maârif Extens...,Published 1 day ago,"3 bedrooms, 147 m²","Maârif Extension in
   					Casablanca","buy your apartment. price 2,290,000 dh. 4 living areas, 2 bathrooms, area 147 m². 3 bedrooms. 6th level. good condition. floor type: wooden.

come and check out this apartment for sale in maârif extension,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,290,000 DH
					</span>"
Beautiful apartment for sale in Les princ...,Published 1 day ago,"3 bedrooms, 125 m²","Les princesses in
   					Casablanca","lovely apartment for sale. price 1,720,000 dh. 3 rooms, 2 bathrooms, area 125 m². 4 rooms. 3rd storey. good condition. carpark, balcony.

come and check out this apartment for sale in les princesses,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,720,000 DH
					</span>"
Apartment for sale in Les Hôpitaux. Area...,Published 1 day ago,"4 bedrooms, 124 m²","Les Hôpitaux in
   					Casablanca","buy your apartment. price 1,700,000 dh. 5 living areas, 2 private bathrooms, 124 m². 4 rooms. 2nd storey. lift and garage in the residence.

come and check out this apartment for sale in les hôpitaux,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,700,000 DH
					</span>"
Sell apartment in Maârif. Area 89 m². Wit...,Published 1 day ago,"2 bedrooms, 89 m²","Maârif in
   					Casablanca","look over this apartment for sale. price 1,260,000 dh. 2 rooms, 2 bathrooms, area 89 m². 3 rooms. 5th storey. less than 20 years. floor type: marble. with lift, balcony.

come and check out this apartment
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,260,000 DH
					</span>"
Beautiful apartment for sale in Gauthier...,Published 1 day ago,"3 bedrooms, 249 m²","Gauthier in
   					Casablanca","don't miss out on this apartment for sale. price 4,450,000 dh. 3 rooms, 2 bathrooms, 249 m². 6 rooms. residence perfectly equipped with lift and carpark. you will also enjoy a beautiful terrace.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,450,000 DH
					</span>"
Find an apartment to buy in Maârif. 3 lar...,Published 1 day ago,"2 bedrooms, 89 m²","Maârif in
   					Casablanca","ideal apartment for sale. price 1,260,000 dh. 3 living areas, 2 bathrooms, area 89 m². 2 rooms. 5th on the first floor. less than 20 years. floor type: marble. has a terrace. residence with lift.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,260,000 DH
					</span>"
Luxury villa for sale in Ain Diab. 4 beau...,Published 1 day ago,"4 bedrooms, 302 m²","Ain Diab in
   					Casablanca","high quality amenities with this beautiful house for sale. price 6,800,000 dh. 4 rooms, 3 bathrooms, area 302 m². 6 rooms. residence perfectly equipped and a carpark. you will also have a garden and a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,800,000 DH
					</span>"
Sale of a lovely apartment in Maârif Exte...,Published 1 day ago,"2 bedrooms, 136 m²","Maârif Extension in
   					Casablanca","unique opportunity in this apartment for sale. price 2,000,000 dh. 2 bedrooms, 1 bathroom, 136 m². 5 rooms. 2nd on the top floor. less than 20 years. with lift.

this apartment is offered for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,000,000 DH
					</span>"
Sell apartment in Oulfa. Total area 77 m²...,Published 1 day ago,"2 bedrooms, 83 m²","Oulfa in
   					Casablanca","amazing deal on this apartment for sale. price 1,200,000 dh. 3 living areas with 2 rooms, 1 bathroom, 83 m². 3rd storey. new. built-in oven.

this apartment is for sale in oulfa, casablanca. lift in the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,162,000 DH
					</span>"
Apartment to purchase in Tacharouk (Hay A...,Published 1 day ago,"2 bedrooms, 71 m²","Tacharouk (Hay Al Walaa) in
   					Casablanca","get a great deal by buying this apartment. price 450,000 dh. 2 rooms, 1 bathroom, 71 m². 3 rooms. 3rd property storey. good condition. floor type: tiled. well furnished.

ideal if you want to buy an
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">435,000 DH
					</span>"
Apartment for sale in Les princesses. Sur...,Published 1 day ago,"2 bedrooms, 132 m²","Les princesses in
   					Casablanca","get a great deal by buying this apartment. price 2,500,000 dh. 3 living areas, 3 bathrooms, area 132 m². 2 rooms. 6th storey. less than 20 years. covering: marble. equipped with a satellite dish. security
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,500,000 DH
					</span>"
Beautiful apartment for sale in Oulfa. 2...,Published 2 day ago,"1 bedroom, 85 m²","Oulfa in
   					Casablanca","look over this apartment for sale. price 645,000 dh. 2 living areas, 1 bathroom, 85 m². 1 room. less than 20 years. due for reform. covering: tiled. the property is fully furnished.

this apartment is
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">645,000 DH
					</span>"
Apartment to purchase in Californie. Surf...,Published 1 day ago,"3 bedrooms, 88 m²","Californie in
	 					Casablanca","get a great deal by buying this apartment. 3 rooms, 2 bathrooms, area 88 m².

this apartment is offered for sale in californie, casablanca. fully equipped kitchen. security.","<span class=""priceTag hardShadow float-right floatL yellowBg"">
							Price on request
						
					</span>"
Apartment for sale in Californie. Dimensi...,Published 1 day ago,"2 bedrooms, 69 m²","Californie in
	 					Casablanca","get a great deal by buying this apartment. 2 bedrooms, 1 bathroom, 69 m².

this apartment is offered for sale in californie, casablanca. equipped kitchen. on-site security.","<span class=""priceTag hardShadow float-right floatL yellowBg"">
							Price on request
						
					</span>"
Beautiful apartment for sale in Bourgogne...,Published 1 day ago,"2 bedrooms, 77 m²","Bourgogne Ouest in
	 					Casablanca","get a great deal by buying this apartment. price 1,270,500 dh. 2 bedrooms, 1 bathroom, 77 m². 3 rooms. 2nd property storey. new. caretaker service available, general air conditioning system.

this
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,270,500 DH
					</span>"
Offices & shops for sale. 2 beautiful roo...,Published 1 day ago,"3 bedrooms, 94 m²","Ain Borja in
	 					Casablanca","offices & shops for sale. price 1 dh. 2 rooms, 1 bathroom, area 113 m². private garden.

offices & shops for sale . equipped kitchen.

close to all amenities: transport in 600 meters, retailers in 900
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">987,000 DH
					</span>"
Sell apartment in Casablanca Finance City...,Published 1 day ago,"3 bedrooms, 157 m²","Casablanca Finance City in
	 					Casablanca","don't miss out on this apartment for sale. price 2,800,000 dh. 3 rooms, 2 bathrooms, area 157 m². 4 rooms. 10th storey. new. covering: marble. caretaker service at your disposal, property with swimming
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,800,000 DH
					</span>"
Splendido appartamento da acquistare a Ca...,Published 1 day ago,"2 bedrooms, 104 m²","Californie in
	 					Casablanca","acquista questo bellissimo appartamento. prezzo 2 151 000 dh. 3 locali e 2 bagni, 123 m². 2 camere da letto. nuovo. terrazzo.

vieni a vedere questo appartamento in vendita a californie. tranquillità
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,880,000 DH
					</span>"
Find an apartment to buy. 3 beautiful roo...,Published 1 day ago,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","don't miss out on this apartment for sale. price 250 000 dh. 4 living areas, 3 rooms, 2 bathrooms, area 67 m². 1st storey. less than 1 year. green areas no lift, balcony.

come and check out this apartment
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Apartment to purchase in Californie. Area...,Published 1 day ago,"3 bedrooms, 88 m²","Californie in
	 					Casablanca","get a great deal by buying this apartment. 3 bedrooms, 2 bathrooms, 88 m².

this apartment is offered for sale in californie, casablanca. fitted kitchen. secured neighbourhood.","<span class=""priceTag hardShadow float-right floatL yellowBg"">
							Price on request
						
					</span>"
Ô Mâarif,,,Maârif in Casablanca,"the ô maarif project is part of a desire to offer the expertise of quality and high standing to a young, dynamic and demanding clientele. ideally located between the districts of maarif, gauthier and racine, ô maarif offers its future owners a strategic urban location
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>1,406,500 DH
					</span>"
Luxury villa for sale in Hermitage. 3 bea...,Published 2 day ago,"3 bedrooms, 715 m²","Hermitage in
   					Casablanca","very nice villa for sale combining luxury and comfort. price 7,300,000 dh. 3 rooms, 2 bathrooms, area 715 m². 6 rooms. less than 30 years. covering: marble. you will have a terrace and a garden.

come and
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,300,000 DH
					</span>"
Sale of a lovely apartment in Palmier. 2...,Published 2 day ago,"1 bedroom, 63 m²","Palmier in
   					Casablanca","amazing deal on this apartment for sale. price 1,331,000 dh. 2 living areas, 1 bathroom, 63 m². 1 bedroom. 1st storey. less than 1 year. covering: marble. enjoy the comfort of the air conditioning. the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,331,000 DH
					</span>"
Apartment to purchase in Casablanca Finan...,Published 2 day ago,"1 bedroom, 126 m²","Casablanca Finance City in
   					Casablanca","don't miss out on this apartment for sale. price 1,860,000 dh. 3 living areas, 2 bathrooms, 126 m². 1 bedroom. less than 1 year. floor type: marble. ample storage space.

this apartment is offered for sale
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,860,000 DH
					</span>"
Fabulous villa for sale in Ain Diab Exten...,Published 2 day ago,"4 bedrooms, 260 m²","Ain Diab Extension in
   					Casablanca","ideally located at the gates of ain diab, only two kilometers from the morocco mall, anfa heaven has been designed to offer a peaceful and gentle living environment that breaks with the hustle and bustle
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,920,000 DH
					</span>"
Fabulous apartment for sale in Maârif Ext...,Published 2 day ago,"3 bedrooms, 152 m²","Maârif Extension in
   					Casablanca","unique opportunity in this apartment for sale. price 1,900,000 dh. 3 rooms, 2 bathrooms, area 152 m². 4 rooms. good condition. no lift, car parking spaces, large terrace.

this apartment is offered for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,900,000 DH
					</span>"
Apartment to purchase in Maârif. Total ar...,Published 2 day ago,"1 bedroom, 40 m²","Maârif in
   					Casablanca","ideal apartment for sale. price 700,000 dh. 3 living areas, 1 bathroom, area 40 m². 1 room. 4th storey. less than 5 years. floor type: marble. no lift, large terrace.

ideal if you want to buy an apartment
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">700,000 DH
					</span>"
Fabulous house for sale in Ain Diab Exten...,Published 2 day ago,"4 bedrooms, 260 m²","Ain Diab Extension in
   					Casablanca","ideally located at the gates of ain diab, only two kilometers from the morocco mall, anfa heaven has been designed to offer a peaceful and gentle living environment that breaks with the hustle and bustle
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,920,000 DH
					</span>"
Apartment for sale in Racine. 4 large liv...,Published 2 day ago,"3 bedrooms, 308 m²","Racine in
   					Casablanca","unique opportunity in this apartment for sale. price 4,600,000 dh. 4 living areas, 3 private bathrooms, 308 m². 3 bedrooms. 5th level. less than 5 years. covering: marble. peace of mind with double glazed
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,600,000 DH
					</span>"
Sell apartment in Triangle d'Or. Area of...,Published 2 day ago,"2 bedrooms, 228 m²","Triangle d'Or in
   					Casablanca","unique opportunity in this apartment for sale. price 4,700,000 dh. 7 living areas, 3 bathrooms, area 228 m². 2 bedrooms. 3rd ground floor. less than 10 years. covering: marble. well furnished.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,700,000 DH
					</span>"
Apartment for sale in Beauséjour. Large a...,Published 2 day ago,"3 bedrooms, 137 m²","Beauséjour in
   					Casablanca","buy your apartment. price 1,550,000 dh. 3 rooms, 2 bathrooms, area 137 m². 4 rooms. 1st on the first floor. less than 5 years. covering: marble. lift in the residence.

ideal if you want to buy an
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,550,000 DH
					</span>"
Fabulous apartment for sale in Palmier. S...,Published 2 day ago,"3 bedrooms, 116 m²","Palmier in
   					Casablanca","look over this apartment for sale. price 2,490,000 dh. 3 rooms, 3 bathrooms, area 116 m². 4 rooms. 4th level. less than 1 year. comfort and security with caretaker service and air conditioning.

this
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,490,000 DH
					</span>"
Sale of a lovely apartment in Les princes...,Published 2 day ago,"3 bedrooms, 127 m²","Les princesses in
   					Casablanca","don't miss out on this apartment for sale. price 2,700,000 dh. 4 living areas, 3 private bathrooms, 127 m². 3 bedrooms. 2nd property storey. less than 5 years. floor type: marble. usable fireplace,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,700,000 DH
					</span>"
Fabulous villa for sale in Californie. Sm...,Published 2 day ago,"4 bedrooms, 2050 m²","Californie in
   					Casablanca","luxury amenities with this villa for sale. price 21,500,000 dh. 4 rooms, 4 bathrooms, area 2050 m². 5 rooms. less than 20 years. living room with fireplace, residence with caretaker, residence with
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">21,500,000 DH
					</span>"
Apartment to purchase in Ferme Bretonne (...,Published 2 day ago,"3 bedrooms, 132 m²","Ferme Bretonne (Hay Arraha) in
   					Casablanca","lovely apartment for sale. price 2,400,000 dh. 3 living areas including 3 rooms, 3 bathrooms, 132 m². 3rd storey. less than 1 year. floor type: marble. caretaker service available, integrated air
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,400,000 DH
					</span>"
Sell apartment in Racine. Area of 182 m²...,Published 2 day ago,"3 bedrooms, 182 m²","Racine in
   					Casablanca","don't miss out on this apartment for sale. price 3,000,000 dh. 4 living areas, 3 private bathrooms, 182 m². 3 bedrooms. 5th storey. less than 20 years. covering: marble. enjoy the comfort of the fireplace
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">3,000,000 DH
					</span>"
Apartment to purchase in Maârif Extension...,Published 2 day ago,"3 bedrooms, 189 m²","Maârif Extension in
   					Casablanca","amazing deal on this apartment for sale. price 2,000,000 dh. 3 rooms, 2 bathrooms, area 189 m². 6 rooms. 3rd storey. less than 5 years. green areas no lift, balcony.

this apartment is for sale in maârif
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,000,000 DH
					</span>"
Apartment for sale in Triangle d'Or. 4 be...,Published 2 day ago,"4 bedrooms, 228 m²","Triangle d'Or in
   					Casablanca","look over this apartment for sale. price 3,950,000 dh. 4 rooms, 3 bathrooms, area 228 m².

this apartment is offered for sale in triangle d'or, casablanca.","<span class=""priceTag hardShadow float-right floatL"">3,950,000 DH
					</span>"
Splendid villa for sale. 5 beautiful room...,Published 2 day ago,"5 bedrooms, 1060 m²","Anfa Supérieur in
   					Casablanca","exceptional villa for sale. price 15,500,000 dh. 12 living areas, 5 bedrooms, 4 bathrooms, floor area 1060 m². less than 20 years. covering: marble. you will have a terrace and a garden.

this beautiful
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">15,500,000 DH
					</span>"
Luxury villa for sale in Polo. Total area...,Published 2 day ago,"4 bedrooms, 411 m²","Polo in
   					Casablanca","exceptional villa for sale. price 4,700,000 dh. 4 rooms, 4 bathrooms, area 411 m². 6 rooms. less than 30 years. due for reform. you will have a terrace and a garden.

this beautiful villa is for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">4,700,000 DH
					</span>"
Beautiful house for sale in Anfa. Small a...,Published 2 day ago,"5 bedrooms, 1050 m²","Anfa in
   					Casablanca","find out about this house for sale. price 18 800 000 dh. 8 living areas, 5 bedrooms, 3 bathrooms, floor area 1050 m². good condition.

this beautiful house is for sale in anfa, casablanca.","<span class=""priceTag hardShadow float-right floatL"">17,374,000 DH
					</span>"
Apartment to purchase in Racine. Large ar...,Published 2 day ago,"3 bedrooms, 171 m²","Racine in
   					Casablanca","unique opportunity in this apartment for sale. price 2,736,000 dh. 3 rooms, 2 bathrooms, area 171 m². 5 rooms. large balcony.

come and check out this apartment for sale in racine, casablanca. enjoy the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,736,000 DH
					</span>"
Apartment for sale in Ferme Bretonne (Hay...,Published 2 day ago,"3 bedrooms, 196 m²","Ferme Bretonne (Hay Arraha) in
   					Casablanca","amazing deal on this apartment for sale. price 3,800,000 dh. 3 rooms, 3 bathrooms, 196 m². 4 rooms. good condition. green areas, balcony.

come and check out this apartment for sale in ferme bretonne (hay
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">3,800,000 DH
					</span>"
Sell apartment in Bourgogne Est. Large ar...,Published 2 day ago,"3 bedrooms, 139 m²","Bourgogne Est in
   					Casablanca","don't miss out on this apartment for sale. price 1,600,000 dh. 3 living areas, 2 bathrooms, area 139 m². 3 rooms. good condition. with lift, parking spaces for cars.

come and check out this apartment for
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,600,000 DH
					</span>"
Apartment for sale. Area 114 m²,Published 2 day ago,"2 bedrooms, 114 m²","Maârif Extension in
   					Casablanca","don't miss out on this apartment for sale. price 2,100,000 dh. 2 rooms, 2 bathrooms, area 114 m². 3 rooms. good condition. secured neighbourhood.

this apartment is for sale in maârif extension,
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">2,100,000 DH
					</span>"
Splendid villa for sale in CIL (Hay Salam...,Published 2 day ago,"4 bedrooms, 450 m²","CIL (Hay Salam) in
   					Casablanca","refinement and comfort with this villa for sale. price 6,000,000 dh. 4 living areas, 2 bathrooms, area 450 m². 4 bedrooms. good condition. green area, carpark, balcony.

this beautiful villa is for sale in
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">6,000,000 DH
					</span>"
Apartment for sale. Large area 67 m². Pri...,Published 1 day ago,"2 bedrooms, 59 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","lovely apartment for sale. 4 living areas including 3 rooms, 2 bathrooms, 67 m². new. residence perfectly equipped with lift and carpark you will also enjoy a beautiful terrace.

come and check out this
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Apartment for sale in Californie. 4 comfo...,Published 1 day ago,"3 bedrooms, 100 m²","Californie in
	 					Casablanca","unique opportunity in this apartment for sale. price 1,498,000 dh. 4 living areas, 1 bathroom, 100 m². 3 bedrooms. new. air conditioning.

come and check out this apartment for sale in californie,
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,498,000 DH
					</span>"
Sell apartment in Ahl Loghlam (Hay Assala...,Published 1 day ago,"3 bedrooms, 67 m²","Ahl Loghlam (Hay Assalam) in
	 					Casablanca","it is in the heart of the new city of tit mellil, only 2mins from the ring road and 20 mins from mohamed v airport, that shems al madina makes you discover its new residence ""echellalate tit mellil"" more
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">250,000 DH
					</span>"
Sell apartment in Palmier. Area 42 m². ca...,Published 1 day ago,"1 bedroom, 42 m²","Palmier in
	 					Casablanca","don't miss out on this apartment for sale. price 880,000 dh. 2 living areas, 1 bathroom, area 42 m². 1 bedroom. 3rd on the first floor. less than 1 year. covering: marble. caretaker service available,
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">880,000 DH
					</span>"
Sale of a lovely apartment in La Vilette...,Published 1 day ago,"3 bedrooms, 110 m²","La Vilette in
	 					Casablanca","built in r 5, aday la villette is a residence strategically located in the district of la villette, casablanca, offering luxury apartments with an area of 54m ² to 110 m², from 589 000 dh, price 100%
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,177,000 DH
					</span>"
Find an apartment to buy in Les Hôpitaux...,Published 1 day ago,"1 bedroom, 54 m²","Les Hôpitaux in
	 					Casablanca","studio 31: the new studios where you must invest in casablanca!

whether you’re a young worker, an investor or simply looking for your new home in casablanca, the project studio 31 offers you studios that
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">1,045,000 DH
					</span>"
Fabulous apartment for sale in Casablanca...,Published 1 day ago,"2 bedrooms, 125 m²","Casablanca Finance City in
	 					Casablanca","lovely apartment for sale. price 2,129,760 dh. 3 living areas, 2 rooms, 2 bathrooms, 125 m². 6th level. new. enjoy the comfort of the air conditioning. the residence also has a caretaker service and a
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,129,760 DH
					</span>"
Sell apartment. Area of 103 m². Air condi...,Published 1 day ago,"2 bedrooms, 103 m²","Maârif in
	 					Casablanca","the ô maarif project is part of a desire to offer the expertise of quality and high standing to a young, dynamic and demanding clientele. ideally located between the districts of maarif, gauthier and
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">2,005,500 DH
					</span>"
Kamal Park Center,,,Quartier du Parc in Mohammédia,"mfadel group

the new generation residences

located in the heart of mohammedia park and only 20 minutes from the white city, 30 minutes from mohamed v airport and 40 minutes from rabat, the exceptional location of the kamal park center project is one of the major assets
							...
							Read more","<span class=""priceTag hardShadow float-right floatL yellowBg"">
<span class=""fSize13"">From </span>990,000 DH
					</span>"
Fabulous apartment for sale in Ferme Bret...,Published 2 day ago,"2 bedrooms, 107 m²","Ferme Bretonne (Hay Arraha) in
   					Casablanca","don't miss out on this apartment for sale. price 1,750,000 dh. 3 living areas, 2 bathrooms, area 107 m². 2 rooms. 2nd on the top floor. less than 1 year. covering: marble. residence equipped with a lift.
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">1,750,000 DH
					</span>"
Fabulous villa for sale in Californie. 10...,Published 2 day ago,"5 bedrooms, 2100 m²","Californie in
   					Casablanca","luxury villa for sale. price 21,000,000 dh. 10 living areas, 6 bathrooms, 2100 m². 5 rooms. good condition. dressing room.

come and check out this villa without hesitation in californie. in addition to a
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">21,000,000 DH
					</span>"
Luxury home for sale in Sidi Maarouf. 4 b...,Published 2 day ago,"4 bedrooms, 420 m²","Sidi Maarouf in
   					Casablanca","high quality amenities with this beautiful house for sale. price 7,200,000 dh. 4 rooms, 5 bathrooms, area 420 m². 6 rooms. less than 1 year. floor type: marble. secured residence with reinforced door. the
						...
							Read more","<span class=""priceTag hardShadow float-right floatL"">7,200,000 DH
					</span>"
